Team,Number,Shot Result,Zone,Time,Foul,Half
H,4,0,3,19:30,0,1
A,23,1,8,19:10,0,1
H,34,1,14,18:50,0,1
A,13,1,1,18:25,0,1
H,5,0,4,18:00,0,1
A,11,1,4,17:35,0,1
H,4,1,2,17:15,0,1
A,11,1,8,17:00,0,1
A,23,1,15,16:30,0,1
H,4,0,2,16:20,0,1
A,24,1,15,16:07,0,1
H,32,0,4,15:45,0,1
H,3,0,2,15:11,0,1
A,15,1,12,14:40,0,1
H,3,1,15,14:30,0,1
H,11,0,4,14:17,0,1
A,13,1,15,14:01,0,1
H,23,1,15,13:37,1,1
H,23,1,0,13:37,0,1
A,20,0,1,13:15,0,1
H,11,0,2,13:06,0,1
H,1,0,1,12:40,0,1
A,14,1,14,12:23,0,1
A,14,0,14,11:58,1,1
A,14,1,0,11:58,0,1
A,14,1,0,11:58,0,1
H,32,0,10,11:38,0,1
A,20,1,2,11:21,0,1
H,22,0,15,11:10,0,1
A,4,0,15,11:03,0,1
A,14,0,7,10:40,0,1
H,11,0,4,10:00,0,1
H,4,1,15,9:50,0,1
A,20,0,5,9:30,0,1
H,3,0,3,9:09,0,1
A,33,0,2,9:01,0,1
A,14,0,3,8:55,0,1
A,24,1,15,8:52,0,1
H,3,1,15,8:43,0,1
A,33,0,2,8:14,0,1
H,32,1,4,8:05,0,1
A,15,1,3,7:46,0,1
H,23,0,13,7:33,0,1
A,35,0,4,7:06,0,1
H,34,0,14,6:54,1,1
H,34,0,0,6:54,0,1
H,34,0,0,6:54,0,1
A,15,0,13,6:30,0,1
H,3,0,4,6:02,0,1
A,11,0,8,5:34,0,1
H,23,0,5,5:21,0,1
H,34,0,12,5:17,1,1
H,34,0,0,5:17,0,1
H,34,1,0,5:17,0,1
A,20,0,4,4:58,0,1
H,34,1,11,4:44,0,1
A,24,0,1,4:21,0,1
H,32,1,2,4:07,0,1
A,13,1,2,3:47,0,1
H,32,0,7,3:13,0,1
H,22,0,0,3:03,0,1
A,15,0,6,2:45,0,1
H,4,0,2,2:20,0,1
H,32,0,9,2:08,0,1
A,23,0,11,1:48,0,1
H,22,0,12,1:19,0,1
A,14,0,12,0:54,1,1
A,14,0,0,0:54,0,1
A,14,1,0,0:54,0,1
H,3,0,13,0:31,0,1
H,3,1,14,0:29,1,1
H,3,1,0,0:29,0,1
A,4,1,15,0:16,0,1
H,11,0,4,0:02,0,1
A,11,0,12,19:30,0,2
H,32,1,9,19:18,0,2
A,23,1,15,18:57,0,2
A,15,1,8,18:26,0,2
H,34,1,11,18:07,0,2
H,3,0,13,17:34,0,2
H,4,0,4,17:00,0,2
H,32,1,2,16:53,0,2
A,11,0,1,16:35,0,2
A,13,1,14,16:29,0,2
H,34,0,13,16:08,0,2
A,11,0,8,15:40,0,2
A,4,0,12,15:36,1,2
A,4,1,0,15:36,0,2
A,4,1,0,15:36,0,2
H,34,0,11,15:12,0,2
A,15,1,14,14:55,1,2
A,15,0,0,14:55,0,2
H,32,0,2,14:40,0,2
H,32,1,13,14:21,0,2
A,11,1,11,14:02,0,2
H,32,1,3,13:46,0,2
H,21,0,5,13:04,0,2
A,20,1,4,12:55,0,2
H,21,1,14,12:37,0,2
A,4,0,14,12:15,0,2
H,11,0,6,12:05,0,2
A,20,0,4,11:52,0,2
H,4,0,2,11:40,0,2
H,44,1,15,11:39,0,2
A,23,0,1,11:20,0,2
A,14,1,15,11:19,0,2
H,11,0,1,11:00,0,2
A,32,0,2,10:27,0,2
A,14,0,4,10:17,0,2
A,13,1,15,10:15,0,2
H,21,0,2,10:03,0,2
H,3,0,13,10:00,1,2
H,32,0,11,9:42,1,2
H,32,1,0,9:42,0,2
H,32,1,0,9:42,0,2
A,14,0,14,9:32,1,2
A,14,1,0,9:32,0,2
A,14,1,0,9:32,0,2
H,32,0,14,9:15,0,2
A,20,0,4,9:00,0,2
A,13,0,3,8:49,0,2
H,32,0,3,8:35,0,2
H,4,1,2,8:10,0,2
A,11,0,10,7:49,0,2
H,32,0,10,7:36,0,2
A,14,0,8,7:13,0,2
A,13,1,8,7:08,0,2
H,4,0,2,6:54,0,2
A,13,0,7,6:32,0,2
H,1,1,4,6:09,0,2
A,14,0,14,5:38,0,2
H,4,0,2,5:32,0,2
H,34,1,13,5:10,0,2
A,23,0,2,4:50,0,2
H,34,1,11,4:34,0,2
A,13,0,3,4:11,0,2
H,32,0,3,3:53,0,2
H,5,0,4,3:31,0,2
H,32,0,12,3:21,0,2
H,34,0,11,2:33,0,2
H,11,1,5,2:22,0,2
A,4,0,14,2:00,0,2
H,32,0,4,1:30,0,2
H,4,0,3,1:22,0,2
H,34,0,13,0:40,0,2
A,15,1,0,0:18,0,2
A,15,1,0,0:18,0,2
H,4,1,15,0:13,0,2
A,15,0,0,0:12,0,2
A,23,1,0,0:10,0,2
A,23,1,0,0:10,0,2
H,23,1,4,0:03,0,2
A,11,0,0,0:02,0,2
A,11,0,0,0:02,0,2
