Team,Number,Shot Result,Zone,Time,Foul,Half
A,20,0,13,19:45,0,1
A,30,0,2,18:53,0,1
H,32,1,8,18:15,0,1
A,30,0,4,17:53,0,1
H,4,0,4,17:45,0,1
H,44,0,12,17:40,0,1
A,44,0,13,17:30,0,1
A,24,0,4,17:16,0,1
H,32,0,13,16:40,0,1
H,32,0,8,16:27,0,1
A,44,0,13,16:19,1,1
A,44,1,0,16:19,0,1
A,44,0,0,16:19,0,1
H,44,0,13,15:57,0,1
A,10,1,12,15:47,0,1
A,32,1,4,14:58,0,1
A,30,1,15,14:15,0,1
H,13,1,2,14:05,0,1
A,10,0,6,13:45,0,1
H,32,0,9,13:35,0,1
H,4,0,15,13:09,0,1
H,21,0,12,12:47,0,1
A,22,0,3,12:23,0,1
A,14,0,3,13:00,0,1
H,1,1,5,11:55,0,1
A,22,0,13,11:38,0,1
H,23,0,15,11:21,1,1
H,23,1,0,11:21,0,1
H,23,0,0,11:21,0,1
A,32,1,3,11:00,0,1
H,1,0,15,10:40,0,1
A,32,1,8,10:20,0,1
A,52,0,12,9:40,0,1
A,32,0,3,9:34,0,1
A,14,0,2,9:21,0,1
H,13,0,13,9:00,0,1
A,1,1,2,8:47,0,1
H,32,0,13,8:25,0,1
H,4,0,1,8:00,0,1
A,30,0,12,7:40,0,1
H,32,0,15,7:35,0,1
A,1,0,15,7:20,0,1
A,20,1,13,7:16,0,1
H,13,1,3,6:55,0,1
A,44,0,11,6:45,0,1
H,13,0,13,6:36,0,1
H,32,1,15,6:34,0,1
A,1,0,1,6:22,0,1
A,10,0,13,6:15,0,1
H,32,0,1,6:11,0,1
A,10,0,9,5:40,0,1
A,44,0,11,5:37,0,1
H,13,1,4,5:22,0,1
A,20,1,9,5:04,1,1
A,20,1,0,5:04,0,1
H,32,0,15,4:40,0,1
H,13,0,4,3:55,0,1
H,3,0,4,3:42,0,1
A,52,1,2,3:23,0,1
A,30,0,4,2:51,0,1
A,52,1,13,2:47,0,1
H,13,0,13,2:35,1,1
H,13,1,0,2:35,0,1
H,13,0,0,2:35,0,1
A,10,1,12,2:12,0,1
H,4,1,8,1:45,0,1
A,30,0,14,1:20,0,1
A,32,1,6,1:04,0,1
H,52,1,4,0:20,0,1
A,13,1,3,0:04,0,1
A,24,1,9,19:35,0,2
H,32,0,9,18:53,0,2
H,4,1,12,18:20,0,2
A,20,1,12,17:59,0,2
H,3,1,15,17:50,0,2
A,30,0,12,17:36,1,2
A,30,1,0,17:36,0,2
A,30,0,0,17:36,0,2
H,3,1,15,17:21,0,2
A,30,1,15,16:43,0,2
H,13,0,3,16:18,0,2
H,32,1,14,16:00,0,2
A,10,0,12,15:50,1,2
A,10,1,0,15:50,0,2
A,10,1,0,15:50,0,2
H,32,1,1,15:35,0,2
A,22,1,13,15:18,0,2
H,4,0,2,14:55,0,2
A,32,0,4,14:42,0,2
H,21,1,14,14:20,0,2
A,10,0,8,14:05,0,2
H,4,1,15,13:57,0,2
A,22,1,4,13:35,0,2
H,32,0,1,13:08,0,2
H,21,1,13,12:20,0,2
A,22,0,4,12:00,0,2
A,30,1,11,11:36,0,2
H,3,0,15,11:29,1,2
H,3,1,0,11:29,0,2
H,3,1,0,11:29,0,2
A,14,1,4,11:13,0,2
H,21,0,11,10:45,0,2
H,13,0,2,10:16,0,2
H,23,1,15,10:06,0,2
A,10,1,8,9:52,0,2
H,0,0,1,9:06,0,2
H,32,0,7,8:45,0,2
H,13,0,5,8:40,0,2
A,1,0,10,8:13,0,2
A,52,1,14,8:07,0,2
H,21,0,13,7:53,0,2
H,32,1,2,7:35,0,2
H,32,0,2,7:10,0,2
A,1,1,15,7:00,0,2
H,2,0,4,6:40,0,2
A,30,0,13,6:13,0,2
A,10,1,8,6:00,0,2
H,32,1,15,5:42,0,2
H,2,0,3,5:13,0,2
A,1,1,15,5:02,0,2
A,1,0,0,5:02,0,2
A,1,0,15,4:45,0,2
A,1,0,2,4:05,0,2
H,32,0,9,3:55,0,2
H,3,0,15,3:40,0,2
A,1,0,2,3:18,0,2
H,13,0,4,2:58,0,2
A,1,1,15,2:35,0,2
H,4,0,12,2:16,0,2
A,10,0,0,2:08,0,2
H,4,0,15,1:50,0,2
A,14,0,1,1:24,0,2
H,32,0,4,1:10,0,2
A,1,0,15,1:03,1,2
A,1,1,0,1:03,0,2
A,1,1,0,1:03,0,2
H,42,0,1,0:50,0,2
A,34,0,15,0:40,0,2
A,11,0,7,0:23,0,2
